IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.204.106.202,443,true,FRA,Europe,Frankfurt,217 ms,7550 kB/s
34.107.17.54,443,true,FRA,Europe,Frankfurt,233 ms,7525 kB/s
34.147.119.30,443,true,FRA,Europe,Frankfurt,228 ms,7483 kB/s
35.204.216.23,443,true,FRA,Europe,Frankfurt,259 ms,7265 kB/s
34.154.80.143,443,true,FRA,Europe,Frankfurt,230 ms,7144 kB/s
34.154.222.58,443,true,FRA,Europe,Frankfurt,229 ms,7093 kB/s
35.247.124.181,443,true,SEA,North America,Seattle,207 ms,6929 kB/s
34.116.208.135,443,true,FRA,Europe,Frankfurt,237 ms,6874 kB/s
34.32.247.234,443,true,FRA,Europe,Frankfurt,213 ms,6812 kB/s
34.118.11.180,443,true,FRA,Europe,Frankfurt,226 ms,6506 kB/s
34.65.218.205,443,true,FRA,Europe,Frankfurt,218 ms,6401 kB/s
35.204.84.242,443,true,FRA,Europe,Frankfurt,226 ms,6396 kB/s
34.116.255.60,443,true,FRA,Europe,Frankfurt,273 ms,6323 kB/s
34.118.31.237,443,true,FRA,Europe,Frankfurt,238 ms,5977 kB/s
34.154.94.30,443,true,FRA,Europe,Frankfurt,232 ms,5897 kB/s
35.246.191.74,443,true,FRA,Europe,Frankfurt,232 ms,5822 kB/s
34.118.96.176,443,true,FRA,Europe,Frankfurt,228 ms,5764 kB/s
34.65.158.214,443,true,FRA,Europe,Frankfurt,221 ms,5710 kB/s
34.116.137.135,443,true,FRA,Europe,Frankfurt,248 ms,5421 kB/s
34.154.238.98,443,true,FRA,Europe,Frankfurt,235 ms,5320 kB/s
34.154.141.246,443,true,FRA,Europe,Frankfurt,230 ms,5316 kB/s
34.154.159.86,443,true,FRA,Europe,Frankfurt,226 ms,5295 kB/s
34.116.214.69,443,true,FRA,Europe,Frankfurt,242 ms,5113 kB/s
34.34.85.215,443,true,FRA,Europe,Frankfurt,240 ms,4942 kB/s
34.118.68.179,443,true,FRA,Europe,Frankfurt,240 ms,4902 kB/s
34.65.160.189,443,true,FRA,Europe,Frankfurt,259 ms,4872 kB/s
34.65.150.145,443,true,FRA,Europe,Frankfurt,229 ms,4645 kB/s
34.116.147.55,443,true,FRA,Europe,Frankfurt,240 ms,4604 kB/s
34.116.176.165,443,true,FRA,Europe,Frankfurt,236 ms,4410 kB/s
34.118.63.214,443,true,FRA,Europe,Frankfurt,233 ms,4398 kB/s
34.118.12.10,443,true,FRA,Europe,Frankfurt,236 ms,4363 kB/s
34.154.113.6,443,true,FRA,Europe,Frankfurt,223 ms,4255 kB/s
34.107.14.208,443,true,FRA,Europe,Frankfurt,245 ms,4137 kB/s
34.116.255.149,443,true,FRA,Europe,Frankfurt,263 ms,4048 kB/s
34.90.117.230,443,true,FRA,Europe,Frankfurt,265 ms,3847 kB/s
34.66.72.229,443,true,ORD,North America,Chicago,256 ms,3826 kB/s
34.154.248.246,443,true,FRA,Europe,Frankfurt,253 ms,3758 kB/s
34.154.113.214,443,true,FRA,Europe,Frankfurt,227 ms,3576 kB/s
34.154.134.225,443,true,FRA,Europe,Frankfurt,223 ms,3430 kB/s
35.197.23.75,443,true,SEA,North America,Seattle,198 ms,3410 kB/s
34.154.157.34,443,true,FRA,Europe,Frankfurt,221 ms,3281 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,265 ms,3272 kB/s
34.154.155.55,443,true,FRA,Europe,Frankfurt,224 ms,3113 kB/s
34.154.197.137,443,true,FRA,Europe,Frankfurt,228 ms,2902 kB/s
34.154.199.135,443,true,FRA,Europe,Frankfurt,236 ms,2530 kB/s
34.116.216.92,443,true,FRA,Europe,Frankfurt,239 ms,2500 kB/s
34.88.63.160,443,true,FRA,Europe,Frankfurt,333 ms,2081 kB/s
34.105.49.234,443,true,SEA,North America,Seattle,206 ms,1727 kB/s
34.34.186.205,443,true,CDG,Europe,Paris,297 ms,1491 kB/s
34.159.115.89,443,true,FRA,Europe,Frankfurt,219 ms,1401 kB/s
35.230.79.26,443,true,SEA,North America,Seattle,202 ms,998 kB/s
34.82.76.253,443,true,SEA,North America,Seattle,198 ms,742 kB/s
34.116.211.122,443,true,FRA,Europe,Frankfurt,234 ms,140 kB/s
34.32.235.34,443,true,FRA,Europe,Frankfurt,226 ms,121 kB/s
34.116.198.179,443,true,FRA,Europe,Frankfurt,241 ms,121 kB/s
34.154.243.67,443,true,FRA,Europe,Frankfurt,230 ms,102 kB/s
34.118.15.95,443,true,FRA,Europe,Frankfurt,235 ms,102 kB/s
34.116.238.44,443,true,FRA,Europe,Frankfurt,219 ms,99 kB/s
34.118.89.135,443,true,FRA,Europe,Frankfurt,265 ms,93 kB/s
34.116.157.255,443,true,FRA,Europe,Frankfurt,276 ms,80 kB/s
34.154.113.133,443,true,FRA,Europe,Frankfurt,230 ms,77 kB/s
34.65.77.135,443,true,FRA,Europe,Frankfurt,218 ms,77 kB/s
