IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
176.116.21.132,2096,80,false,LHR,Europe,London,160,0.00
13.37.165.175,2053,80,false,CDG,Europe,Paris,160,0.00
13.36.253.240,2053,80,false,CDG,Europe,Paris,160,0.00
13.36.253.240,2052,80,false,CDG,Europe,Paris,160,0.00
176.116.21.137,2053,80,false,LHR,Europe,London,160,0.00
176.116.21.184,2087,80,false,LHR,Europe,London,160,0.00
176.116.21.127,2096,80,false,LHR,Europe,London,160,0.00
176.116.21.100,2086,80,false,LHR,Europe,London,160,0.00
176.116.21.87,2052,80,false,LHR,Europe,London,160,0.00
176.116.21.92,2083,80,false,LHR,Europe,London,160,0.00
176.116.21.92,2082,80,false,LHR,Europe,London,160,0.00
176.116.21.133,2052,80,false,LHR,Europe,London,160,0.00
176.116.21.153,2086,80,false,LHR,Europe,London,160,0.00
176.116.21.180,2095,80,false,LHR,Europe,London,161,0.00
13.36.63.124,2053,80,false,CDG,Europe,Paris,161,0.00
176.116.21.94,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.74,2086,80,false,LHR,Europe,London,161,0.00
176.116.21.89,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.108,2086,80,false,LHR,Europe,London,161,0.00
176.116.21.101,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.102,2087,80,false,LHR,Europe,London,161,0.00
176.116.21.138,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.104,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.140,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.101,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.142,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.102,2052,80,false,LHR,Europe,London,161,0.00
176.116.21.103,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.74,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.137,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.36,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.36,2087,80,false,LHR,Europe,London,161,0.00
176.116.21.220,2053,80,false,LHR,Europe,London,161,0.00
176.116.21.102,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.123,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.32,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.80,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.104,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.140,2086,80,false,LHR,Europe,London,161,0.00
176.116.21.152,2082,80,false,LHR,Europe,London,161,0.00
176.116.21.157,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.102,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.146,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.91,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.74,2096,80,false,LHR,Europe,London,161,0.00
176.116.21.75,2052,80,false,LHR,Europe,London,161,0.00
176.116.21.185,2083,80,false,LHR,Europe,London,161,0.00
176.116.21.85,2095,80,false,LHR,Europe,London,161,0.00
176.116.21.82,2086,80,false,LHR,Europe,London,161,0.00
176.116.21.102,2053,80,false,LHR,Europe,London,161,0.00
176.116.21.129,2053,80,false,LHR,Europe,London,161,0.00
176.116.21.40,2087,80,false,LHR,Europe,London,161,0.00
176.116.21.175,2087,80,false,LHR,Europe,London,161,0.00
176.116.21.175,2083,80,false,LHR,Europe,London,161,0.00
